Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.9999,1.0,0.9998,1.0,0.9999,0.9997
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0
KNN,0.9986,0.9995,0.998,0.9994,0.9987,0.9971
Naive Bayes,0.9853,0.9998,0.9997,0.9745,0.987,0.9705
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0
